type,name,url,description,scraped_from
Department,Academic Establishment,https://www.sab.ac.lk/academic-establishment,Academic Establishment at Sabaragamuwa University,https://www.sab.ac.lk/
Department,Capital Works,https://www.sab.ac.lk/capital-works-planning,Capital Works at Sabaragamuwa University,https://www.sab.ac.lk/
Department,Civil Engineering,https://www.sab.ac.lk/civil_engineering,Civil Engineering at Sabaragamuwa University,https://www.sab.ac.lk/
Department,Examinations Division,https://www.sab.ac.lk/examination_division,Examinations Division at Sabaragamuwa University,https://www.sab.ac.lk/
Department,Finance Division,https://www.sab.ac.lk/finance-division,Finance Division at Sabaragamuwa University,https://www.sab.ac.lk/
Department,General Administration,https://www.sab.ac.lk/administration-officers,General Administration at Sabaragamuwa University,https://www.sab.ac.lk/
Department,Non Academic Establishment,https://www.sab.ac.lk/non-academic-establishment,Non Academic Establishment at Sabaragamuwa University,https://www.sab.ac.lk/
Department,Registrar Office,https://www.sab.ac.lk/registrar_office,Registrar Office at Sabaragamuwa University,https://www.sab.ac.lk/
Department,Student Affairs,https://www.sab.ac.lk/student-affairs,Student Affairs at Sabaragamuwa University,https://www.sab.ac.lk/
