faculty_name,faculty_url,description,scraped_from
Agricultural Sciences,https://www.sab.ac.lk/agri,Faculty of Agricultural Sciences at Sabaragamuwa University,https://www.sab.ac.lk/
Applied Sciences,https://www.sab.ac.lk/app,Faculty of Applied Sciences at Sabaragamuwa University,https://www.sab.ac.lk/
Computing,https://www.sab.ac.lk/computing,Faculty of Computing at Sabaragamuwa University,https://www.sab.ac.lk/
Geomatics,https://www.sab.ac.lk/geo,Faculty of Geomatics at Sabaragamuwa University,https://www.sab.ac.lk/
Graduate Studies,https://www.sab.ac.lk/fgs,Faculty of Graduate Studies at Sabaragamuwa University,https://www.sab.ac.lk/
Management Studies,https://www.sab.ac.lk/mgmt,Faculty of Management Studies at Sabaragamuwa University,https://www.sab.ac.lk/
Medicine,https://www.sab.ac.lk/med,Faculty of Medicine at Sabaragamuwa University,https://www.sab.ac.lk/
Social Sciences & Languages,https://www.sab.ac.lk/fssl,Faculty of Social Sciences & Languages at Sabaragamuwa University,https://www.sab.ac.lk/
Technology,https://www.sab.ac.lk/tech,Faculty of Technology at Sabaragamuwa University,https://www.sab.ac.lk/
